,Variable 1,Variable 2,V de Cramer
49,assigned_room_type,reserved_room_type,0.7517535825611239
5,hotel,assigned_room_type,0.37261610778484255
2,hotel,country,0.34432987958676153
66,customer_type,market_segment,0.3247533098197979
9,meal,hotel,0.31990760924753936
4,hotel,reserved_room_type,0.31162526600973606
75,is_canceled,market_segment,0.2406423473539981
33,market_segment,deposit_type,0.19409365536990517
12,meal,market_segment,0.18086668436869754
21,country,market_segment,0.1709213669722812
3,hotel,market_segment,0.16840548368073904
46,assigned_room_type,meal,0.1666069834465161
74,is_canceled,country,0.15436522969493158
78,is_canceled,deposit_type,0.14809396406822858
13,meal,reserved_room_type,0.14635162603768664
79,is_canceled,customer_type,0.1344661174002834
11,meal,country,0.11656680261605279
31,market_segment,reserved_room_type,0.10474688369415953
65,customer_type,country,0.10187969807824362
16,meal,customer_type,0.0963683880687808
77,is_canceled,assigned_room_type,0.09568293194050974
53,assigned_room_type,is_canceled,0.09568293194050972
56,deposit_type,country,0.09503424655300462
67,customer_type,reserved_room_type,0.0861230434671889
32,market_segment,assigned_room_type,0.08192459930002124
48,assigned_room_type,market_segment,0.08192459930002123
52,assigned_room_type,customer_type,0.07614188146120454
17,meal,is_canceled,0.0712551056551147
22,country,reserved_room_type,0.062336554793117754
72,is_canceled,hotel,0.06177290768989471
76,is_canceled,reserved_room_type,0.0616955636372003
61,deposit_type,customer_type,0.053910875575659274
51,assigned_room_type,deposit_type,0.05245014439829571
59,deposit_type,assigned_room_type,0.0524501443982957
54,deposit_type,hotel,0.050673389914638364
47,assigned_room_type,country,0.047485288889109904
23,country,assigned_room_type,0.04748528888910989
63,customer_type,hotel,0.044776526138656375
7,hotel,customer_type,0.04477652613865637
55,deposit_type,meal,0.04050416676053344
58,deposit_type,reserved_room_type,0.03989323300751403
