,month,hotel,adr
0,1,City Hotel,84.10474405850091
1,1,Resort Hotel,49.15477160493827
2,2,City Hotel,88.99259098497495
3,2,Resort Hotel,53.894217391304345
4,3,City Hotel,92.3955536115971
5,3,Resort Hotel,57.111275583055686
6,4,City Hotel,116.37405926622766
7,4,Resort Hotel,78.80112978524743
8,5,City Hotel,127.18666083533785
9,5,Resort Hotel,79.93964006938421
10,6,City Hotel,122.71469348194815
11,6,Resort Hotel,111.63737993342843
12,7,City Hotel,117.4255611707728
13,7,Resort Hotel,149.67456698480026
14,8,City Hotel,122.58919720125208
15,8,Resort Hotel,178.58876798229437
16,9,City Hotel,116.33731475992886
17,9,Resort Hotel,102.99338175479372
18,10,City Hotel,105.31312759643917
19,10,Resort Hotel,64.02427641462194
20,11,City Hotel,86.56306458247634
21,11,Resort Hotel,48.125
22,12,City Hotel,89.4915067893123
23,12,Resort Hotel,58.458390243902436
